,gen_summary,ref_summary,full_text
162,ленин и чехов разделяли всего лишь 10 лет,человек в формате,"писателя и политика разделяли всего лишь 10 лет. читатель, вероятно, ждет от меня, что я скажу о разделяющей их нравственной пропасти. нет, не скажу.оба принадлежали к тому кругу людей, который в начале двадцатого века было принято обобщенно называть интеллигентским. но ленин и чехов не были противоположными полюсами этого аморфного сферического образования. чехов не был традиционным верующим и отнюдь не всегда походил на того анемичного страдальца с портрета в школьном учебнике литературы, где он, по собственному выражению, «будто хрена нанюхался». большую часть жизни он был молодым хохотуном ростом метр восемьдесят шесть сантиметров (факт зафиксирован медицински), со взглядами, порой напоминающими тургеневского базарова. «их штербе. шампаниен!» («я умираю. шампанского!») – эта последняя в жизни антона павловича фраза какая-то совсем не каноническая. так что если кто и был противоположным ленину интеллигентским полюсом, то скорее верующий историк литературы михаил осипович гершензон. его заочную полемику с лениным прекрасно описал в своей замечательной книге «русские или из дворян в интеллигенты» станислав рассадин. ленин когда-то уцепился за фразу гершензона в сборнике «вехи», что, мол, между интеллигенцией и народом образовалась такая рознь, что впору благословлять власть, «которая своими штыками и тюрьмами еще ограждает нас от ярости народной». ленин тут сразу почуял врага и передернул горькую фразу оппонента: ага, так вам штыки и тюрьмы нравятся! чехов, доживи он до издания «вех» в 1909 году, штыки и тюрьмы, конечно, благословлять не стал бы. но события первой"
163,Вступит в силу новый стандарт для начальной школы,новый стандарт подключает родителей к управлению школой - реморенко,"стандарт для начальной школы был зарегистрирован министерством юстиции рф 22 декабря 2009 года и вступит в силу 1 сентября 2011 года по всей стране. о том, что при этом изменится в школьном образовательном процессе для учителей, учащихся и их родителей, рассказал в интервью риа новости директор департамента государственной политики в образовании министерства образования и науки рф игорь реморенко.- игорь михайлович, скажите, в чем отличие нового стандарта от прежнего, и почему образование нуждается в подобных переменах?- прежний стандарт прописывал содержание образования: что следует изучать на уроках литературы, что - на уроках алгебры, какие произведения должны быть прочитаны, какие формулы изучены, и так по всем предметам. новый стандарт переводит фокус внимания с сугубо «содержательного» компонента на иные способы регулирования образовательного процесса.изменение структуры образовательных стандартов происходит не только в россии, но и во всем мире. уже в середине 70-х годов прошлого века стало ясно: цикл обновления содержания образования значительно длиннее, чем цикл обновления технологий. чтобы обучить чему-то детей, необходимо разработать методики и методические пособия, научить учителей, как ими пользоваться и как организовывать учебный процесс. на все это нужно немало времени. но жизнь уходит вперед быстрее, и наступает момент, когда опять надо внедрять что-то новое. поэтому педагогика встала перед необходимостью найти другие пути, обеспечивающие получение знаний в школе.в 2007 году было принято решение обозначить в стандарте не запоминаемый объем информации, а базовые требования к условиям, в которых будет проходить процесс обучения: структура образовательных программ, количество часов, отводимых на изучение предметов, во избежание перегрузки школьников материалом, требования к ключевым компетенциям, которыми они должны"
164,Совет европы ратифицировал 14-й протокол о реформе страсбургского суда,совфед ратифицировал 14-й протокол о реформе страсбургского суда,"члены совета федерации ратифицировали в среду на первом заседании весенней сессии 14-й протокол к европейской конвенции по правам человека, предусматривающий реформу страсбургского суда.россия стала последней страной совета европы, подписавшей этот документ, без которого не может начаться реформа европейского суда по правам человека (еспч). основной целью протокола является повышение эффективности деятельности суда, количество индивидуальных жалоб в который ежегодно возрастает.госдума рф ратифицировала 14-й протокол о реформе страсбургского суда >>предлагаемые этим документом изменения в европейскую конвенцию по правам человека касаются совершенствования механизма отфильтровывания заведомо неприемлемых жалоб. в частности, вводятся процедуры принятия решения о неприемлемости жалобы единоличным судьей и предоставление комитетам из трех судей права выносить постановления по существу жалобы.также вводится дополнительный критерий, который позволит еспч признать жалобу неприемлемой в зависимости от размера понесенного заявителем ущерба.кроме того, протокол увеличивает сроки полномочий судей еспч с шести до девяти лет без права переизбрания.председатель комитета сф по конституционному законодательству алексей александров отметил на заседании, что ранее россия не ратифицировала протокол из-за ряда озабоченностей, высказанных депутатами госдумы.""вместе с тем, после российская сторона провела переговоры и консультации по вопросу урегулирования разногласий, в результате чего совет европы пошел на ряд компромиссов, что позволило вновь вернуться к рассмотрению вопроса о ратификации протокола"", - заявил сенатор.александров отметил, что анализ позиции еспч говорит о том, что российский судья сможет присутствовать на любой стадии рассмотрения российского дела в любом формате.""ратификация протокола будет способствовать проведению реформ еспч и тем самым"
165,Совет рф досрочно прекратил сенаторские полномочия григория нагинского,сф досрочно прекратил сенаторские полномочия григория нагинского,"совет федерации на заседании в среду досрочно прекратил сенаторские полномочия григория нагинского, представлявшего последние шесть лет в верхней палате законодательный орган ленинградской области.такое решение принято в связи с тем, что нагинский назначен заместителем министра обороны рф.новый представитель в сф от ленинградской области пока не делегирован."
166,жестокое обращение с животными,со звериным гуманизмом,"нелепо звучит - «уполномоченный по правам животных». какие могут быть права у бессловесных тварей? да не в этом дело. назвали бы инспектором или начальником департамента. важнее понять: за каких животных заступаются народные артисты?непосредственно на коллективное письмо их подвигло происшествие в столичном районе мневники, где неизвестные стрелки убили десяток бездомных собак. подписанты требуют возбудить по этому факту уголовное дело по статье 245 - жестокое обращение с животными. какой трогательный гуманизм! очевидно, проблемы всех прочих живых существ, проживающих на территории столицы, уже решены. видимо, защищать больше некого.поясню сразу: я очень люблю собак. кошек тоже, да не о них сейчас речь - не наблюдается наступления на москву полчищ лесных или камышовых котов. но на бесчисленные своры и стаи диких злобных хищников, заполонивших парки, пустыри и спальные районы столицы, моя любовь, извините, не распространяется. мало ли на кого похожи эти четвероногие! волки и шакалы тоже принадлежат к семейству собачьих.конечно, среди домашних псов бывают уроды, особенно из искусственно выращенных бойцовых пород. отдельные извращенцы могут вырастить добермана или овчарку, бросающихся на людей. но за этих «друзей человека» несут ответственность их хозяева.а кто ответит за диких собак? именно диких, а не одичавших. наивно думать, что эти стаи формируются из тех щенков, которых вышвыривают на улицу жестокосердные обыватели, которых, кстати, следовало бы привлекать по той самой 245-й статье. да нет, несчастные брошенные собаки, как правило, не выживают. их рвут на части свои же сородичи, у которых когда-то были домашние"
167,В нидерландах превратили самолет ил-18 в роскошный отель,самолет ил-18 превратили в роскошный отель в нидерландах,"пассажирский самолет ил-18, который был построен в 1960 году, превратили в нидерландах в роскошный отель, сообщает онлайн-издание inhabitat.в материалах издания рассказывается, что до того, как самолет стал отелем, в нем в течение 15 лет располагался ресторан. отель рассчитан всего на один двухместный номер, однако в нем имеются все удобства - джакузи, душ, сауна, кладовка, три телевизора и большая коллекция фильмов на dvd, бесплатный wi-fi, кондиционеры и многое другое. проживание в такой гостинице обойдется в 350 евро за ночь.""отель также нередко арендуют для деловых встреч"", - добавляет inhabitat.издание подчеркивает, что это уже не первый случай, когда самолет превращают в жилое помещение. так, житель коста-рики превратил боинг 727 в отель, в котором могут с комфортом разместиться четыре человека, а один из стокгольмских самолетов переоборудовали в хостел. но дальше всех пошли два жителя сша, которые превратили боинг в судно, а салон обставили в стиле классического американского дома."
168,комиссия венесуэлы отправится в россию для пересмотра соглашений,министр энергетики венесуэлы посетит россию и китай,"специальная комиссия отправляется в среду из венесуэлы в россию и китай для пересмотра ранее заключенных соглашений в области экономики и энергетики, сообщает в государственное информационное агентство abn.как заявил президент латиноамериканского государства уго чавес, комиссию возглавляют венесуэльский министр энергетики и нефти рафаэль рамирес (rafael ramirez) и главнокомандующий вмс страны карлос мата фигуэроа (carlos mata figueroa).основная задача комиссии, по словам чавеса, - обговорить детали совместной разработки нефтяных месторождений в блоке ""хунин"" в бассейне реки ориноко.после завершения переговоров в москве венесуэльская делегация направится в китай, где ее представители, помимо прочего, намерены обсудить китайской стороной проект совместного строительства электростанции, а также дальнейшее взаимодействие двух стран в сфере торговли и развития технологий.общие ресурсы всего нефтеносного пояса реки ориноко оцениваются в 234 миллиарда баррелей тяжелой и сверхтяжелой нефти.в декабре 2009 года государственная нефтегазовая корпорация венесуэлы petroleos de venezuela sa (pdvsa) подписала меморандум о взаимопонимании с китайской china national offshore oil corp (cnooc) о разработке блока бояка-3 (boyaca 3) на нефтеносном поясе реки ориноко. и тогда же - с белоруссией об инвестициях в течение ближайших 25 лет в размере 8 миллиардов долларов в разведку и добычу нефти блока хунин-1.российские компании лукойл, ""роснефть"", тнк-вр, ""сургутнефтегаз"" и ""газпром нефть"" для работы в венесуэле объединились в национальный нефтяной консорциум (ннк). в ходе состоявшегося в сентябре 2009 года визита президента венесуэлы у"
169,Вячеславовна филина,дополнительное образование становится все более значимым - филина,"об опыте работы в сфере дополнительного образования и его перспективах говорит в интервью риа новости директор центра детского творчества юго-западного округа города москвы, заслуженный работник культуры рф тамара филина.- тамара вячеславовна, скажите, какое место занимает дополнительное образование в сложившейся структуре образования и как оно соотносится с тем, что дает школа?- дополнительное образование на самом деле не является для большинства детей добавочным или побочным. для многих оно становится даже более важным, чем общее. ведь в школе ученик получает определенную сумму знаний, независимо от собственного интереса к ним и внутренней склонности к тому или иному предмету. дополнительное образование дает возможность заняться именно любимым делом, развить имеющиеся способности, выявить скрытые.в широком смысле так и формируется личность: человек совершает самостоятельный выбор и направляет силы для достижения цели. мы ребятам как раз в том и помогаем. здесь очень важна среда, в которой происходит этот процесс, обстановка. она у нас нестандартная, многообразная, каждый ребенок может проявиться по-своему. в школе нет для этого больших возможностей.в нашем центре 42 программы. ребята учатся различать классическое и народное, приобретают опыт ручного художественного творчества и исполнительства – участвуют в конкурсах, фестивалях, концертах.все это требует основательной подготовки и большой физической выносливости, и у детей есть возможность не только развивать способности, но и укреплять здоровье. они могут заняться у нас спортивными танцами, детским фитнесом, самбо, футболом.главное – детям здесь интересно. они «по своей воле» хотят постигать то, чему мы их учим. при усиливающемся прагматизме школьного образования творческие занятия создают необходимый баланс, уравновешивают характер детской деятельности.- насколько помогает дополнительное образование в проф"
170,глава узбекистана предложил мирзияева на должность премьера,президент узбекистана предложил мирзияева на должность премьера,"президент узбекистана ислам каримов в среду предложил кандидатуру шовката мирзияева на должность премьер-министра узбекистана.каримов в ходе совместного заседания обеих палат парламента узбекистана отметил личные и профессиональные качества мирзияева и ""его авторитет, заработанный годами"".""прошу поддержать его кандидатуру"", - сказал глава узбекистана.мирзияев возглавлял прежний состав правительства, который сложил полномочия в среду перед вновь избранным парламентом."
171,"В париже матвиенко не обсуждала о строительстве ""охта центра""","матвиенко не обсуждала с директором юнеско строительство ""охта центра""","губернатор санкт-петербурга валентина матвиенко обсудила в париже с гендиректором юнеско ириной боковой предстоящие изменения в официальном списке объектов всемирного культурного наследия северной столицы, но не говорила о строительстве башни ""охта центра"", сообщила матвиенко журналистам по окончании встречи.проект 403-метрового небоскреба, который может стать доминантой комплекса, разделил город на два непримиримых лагеря. часть петербуржцев опасается, что небоскреб испортит панораму северной столицы, исторический центр которой внесен в фонд международного культурного наследия юнеско. сама организация выразила озабоченность по поводу строительства ""охта центра"" и заявила о возможности внесения петербурга в список городов, где ""мировое наследие под угрозой"" в случае строительства небоскреба.однако мэр санкт-петербурга не видит причин ставить вопрос об исключении города из списка всемирного наследия юнеско.""госпожа бокова, на мой взгляд, сказала очень правильную мысль: всегда надо находить баланс между развитием и сохранением культурно-исторического наследия"", - сказала матвиенко, которой бокова вручила во вторник почетный диплом лауреата премии юнеско за вклад в толерантность и ненасилие.""что касается охта центра, то он не входит в охранную зону, он за пределами охранной зоны, поэтому эта тема не обсуждалась"", - отметила матвиенко.на встрече, которая продолжалась около 15 минут, матвиенко и бокова обсудили предстоящую инвентаризацию объектов, включенных в охраняемую зону юнеско.""когда 20 лет назад советский союз выступил с такой номинацией и обратился в юнеско, тогда не было ни жестких критериев, ни требований, ни правил - это был свод пожеланий. когда четыре с лишним тысячи гектар попали как номинация в"
172,В ленинграде началась блокада,хроника блокады ленинграда,"фашисты пытались взять город штурмом, но войска ленинградского фронта остановили их в районе пулково. началась длительная осада города на неве.единственный путь - ""дорога жизни"", по которому доставлялось в город продовольствие, был проложен по льду ладожского озера. с начала блокады в городе были введены продовольственные карточки, хлебная пайка понижалась несколько раз. самая маленькая пайка - 125 граммов была введена при последнем снижении - 20 ноября 1941 года. больше месяца - 35 дней - прожили ленинградцы на этой норме.всего за блокаду от голода, болезней и бомбежек, по предварительным данным, умерли более 800 тысяч человек."
173,"нхл продлил победную серию ""вашингтона"" до 7 матчей","""вашингтон"" одержал седьмую победу подряд в нхл, семин сделал дубль","александр семин двумя голами внес вклад в разгром ""айлендерс"", который продлил победную серию ""вашингтона"" в регулярном чемпионате национальной хоккейной лиги (нхл) до 7 матчей.поединок на лонг-айленде завершился со счетом 7:2 в пользу ""кэпиталз"", нанесших 33 броска в створ, 10 из них - от клюшки александра овечкина, который в итоге не набрал ни одного балла за результативность.гол максима афиногенова принес ""атланте"" победу над ""анахаймом"" со счетом 2:1, а заодно прервал серию ""трэшерз"" из 13 бесплодных попыток реализации большинства. опытный нападающий хозяев вячеслав козлов вновь остался в запасе.центрфорвард ""детройта"" павел дацюк забил и отдал голевую передачу в домашнем матче с ""финиксом"", но"" койоты"", уйдя от поражения на последней минуте третьего периода, одержали победу в овертайме - 5:4. голкипер гостей илья брызгалов отразил 32 броска из 36.голевая передача андрея маркова не помогла ""монреалю"" избежать поражения от ""флориды"" - 1:2. форвард ""торонто"" николай кулемин забил, но ""листья"" вновь проиграли в родных стенах - 3:5 от ""лос-анджелеса"", в составе которого шайбу забросил александр фролов.алексей ковалев открыл счет в домашнем матче с ""нью-джерси"", и этот гол оказался победным, поскольку непробиваемый в последнее время голкипер ""оттавы"" брайан эллиотт парировал все 24 броска. в итоге - 3:0 в пользу ""сенаторов"".результаты других матчей вторника:""коламбус"" - ""нэшвилл"" - 3:2,""эдмонтон"" - ""чикаго"" - 2:4"
174,новые загранпаспорта появятся с 1 марта,новые загранпаспорта начнут выдавать с 1 марта,"электронные микрочипы с метрическими данными владельца появятся в этом году в новых заграничных, дипломатических и служебных паспортах россиян, сообщает ""российская газета"" со ссылкой на постановление правительства.документ ""о порядке использования бланков паспорта гражданина рф, дипломатического паспорта гражданина рф и служебного паспорта гражданина рф, удостоверяющих личность гражданина рф за пределами территории рф, содержащих электронные носители информации"" вступит в силу с 1 марта.теперь при оформлении загранпаспорта нельзя будет выбирать, будет ли документ с электронным чипом или без. для паспортов устанавливается строго конкретная форма, что должно привести все документы, удостоверяющие личность российских граждан за границей, к соответствию международным стандартам.стоимость загранпаспорта нового поколения увеличится в 2,5 раза>>защитный элемент в новом паспорте будет расположен в правом верхнем углу второй страницы - в виде круга из металлизированной пленки диаметром 19 миллиметров. кроме того, на этой пленке под различными углами зрения можно будет увидеть и дополнительное изображение владельца паспорта.выдавать обычные загранпаспорта нового типа начнут с 1 марта, а дипломатические и служебные - с 1 октября 2010 года. как говорится в постановлении правительства, все оформленные ранее загранпаспорта, как с электронными носителями, так и без, будут действительны до окончания срока их действия.ранее сообщалось, что дмитрий медведев утвердил поправки о сроках действия загранпаспортов >>"
175,В кувейте запрет на муляжи стрелкового оружия введен в кувейте,муляжи оружия запрещены в кувейте,"запрет на муляжи стрелкового оружия введен в кувейте, сообщает в среду газета ""аль-кабас"".""министерство торговли и промышленности эмирата по рекомендации министерства внутренних дел поставило под запрет импорт муляжей пистолетов, имитирующих настоящее оружие, владение и торговлю этими муляжами"", - пишет издание.газета отмечает, что аналогичный запрет ""распространяется на все изделия, сходные с муляжами пистолетов"".""аль-кабас"" указывает, что в интересах обеспечения безопасности населения страны нарушители запрета (как торговцы, так и покупатели) будут подвергаться юридическим преследованиям. газета не называет мер пресечения оборота на местном рынке опасных муляжей."
176,Нестор и зимоньич вышли в полуфинал открытого чемпионата австралии по теннису,определились все полуфиналисты australian open в мужской паре,"даниэль нестор и ненад зимоньич (канада/сербия), а также иво карлович и душан вемич (хорватия/сербия) стали последними участниками полуфинала открытого чемпионата австралии по теннису в мужском парном разряде, где сыграют между собой.в среду нестор и зимоньич, посеянные на турнире под вторым номером, в четвертьфинальном матче в трех сетах обыграли арно клемана и йонатана эрлиха (франция/израиль) – 6:4, 1:6, 7:6 (8:6). карлович и вемич выбили из соревнований третью сеянную пару – лукаша длоуги и леандера паеса (чехия/индия) – 6:3, 6:4.в другом полуфинале встретятся первая пара турнира братья боб и майк брайаны (сша) и михаэль кольманн/яркко ниеминен (германия/финляндия)."
177,В ленинграде началась блокада,день снятия блокады города ленинграда. справка,"в этот день в 1944 году фашистские войска были отброшены от города на 65-100 километров.наступление фашистских войск на ленинград, захвату которого германское командование придавало важное стратегическое и политическое значение, началось 10 июля 1941 года.в августе тяжелые бои шли уже на подступах к городу. 30 августа немецкие войска перерезали железные дороги, связывавшие ленинград со страной. 8 сентября фашистам удалось блокировать город с суши. по плану гитлера, ленинград должен был быть стерт с лица земли. потерпев неудачу в попытках прорвать оборону советских войск внутри блокадного кольца, немцы решили взять город измором. по всем расчетам немецкого командования, население ленинграда должно было умереть от голода и холода. 8 сентября, в день начала блокады, произошла первая массированная бомбардировка ленинграда. вспыхнуло около 200 пожаров, один из них уничтожил бадаевские продовольственные склады.в сентябре-октябре вражеская авиация совершала в день по несколько налетов. целью противника было не только помешать деятельности важных предприятий, но и создать панику среди населения. особенно интенсивный артобстрел велся в часы начала и окончания рабочего дня. многие погибли во время обстрелов и бомбежек, множество зданий было разрушено. убежденность в том, что врагу не удастся захватить ленинград, сдерживала темпы эвакуации людей. в блокированном городе оказалось более двух с половиной миллионов жителей, в том числе 400 тысяч детей. продовольственных запасов было мало, пришлось использовать пищевые суррогаты.с начала введения карточной системы нормы выдачи продовольствия населению ленинграда неоднократно сокращались. в ноябре-декабре 1941года рабочий мог получить лишь 250 граммов хлеба в день,"
178,Клейбанова не смогла выйти в полуфинал открытого чемпионата австралии,клейбанова завершила выступление на australian open в парном разряде,"российская теннисистка алиса клейбанова не смогла выйти в полуфинал открытого чемпионата австралии в парном разряде.в среду клейбанова и итальянка франческа скьявоне в двух сетах уступили первой паре турнира кара блэк/лизель хубер (зимбабве/сша) – 3:6, 4:6.в полуфинале их соперницами станут победительницы матча между марией кириленко/агнешкой радванской (россия/польша) и салли пирс/лорой робсон (австралия/великобритания)."
179,Австрийские средства пво обеспечат безопасность вэф в давосе,австрийские пво задействованы в обеспечении безопасности вэф в давосе,"австрийские средства пво задействованы в обеспечении безопасности участников 40-го всемирного экономического форума (вэф) в давосе (швейцария), сообщают местные сми.форум открывается в среду, в его работе примут участие более 2,5 тысяч представителей властных структур, среди них ожидается присутствие 30 глав государств и правительств. также в давос приедут лидеры бизнес-элиты и общественных организаций из 90 стран мира.подробнее о тематике и специфике всемирного экономического форума в давосе >>в операции ""дедал-10"" по охране воздушного пространства вокруг давоса, участвуют 30 австрийских самолетов и вертолетов, а также около 1000 военнослужащих бундесхеера (австрийской армии). при этом основная нагрузка ложится на наземные мобильные радарные станции, в задачу которых входит быстрое обнаружение воздушных объектов. затем в воздух на перехват поднимаются самолеты или вертолеты, которые будут выдворять нарушителя из запретной для полетов зоны, а иногда и принуждать его к посадке. пилотов частных самолетов, вторгшихся в запретную зону, ожидает крупный денежный штраф."
180,В австралии серена уильямс вышла в полуфинал australian open,серена уильямс вышла в полуфинал открытого чемпионата австралии,"первая ракетка мира серена уильямс вышла в полуфинал открытого чемпионата австралии, выиграв труднейший матч у белоруски виктории азаренко.вплоть до середины второго сета азаренко (7-й номер посева) контролировала ход встречи и, казалось, вела матч к победе. однако при счете 2:4 не в свою пользу уильямс (1) удержала свою подачу, затем сделала брейк. она стала меньше ошибаться, острее атаковать, и белоруска с напором американки не справилась. уступив на тай-брейке, в решающей партии виктория шансов уже не имела. итоговый результат - 4:6, 7:6 (7:4), 6:2.в полуфинале серена не сыграет со своей старшей сестрой, ибо винус уильямс (6) неожиданно уступила китаянке ли на (16) - 6:2, 6:7 (4:7), 5:7. если уильямс-младшая - действующая победительница australian open, то 27-летняя ли на впервые достигла этой стадии на турнире большого шлема."
